::ffff:127.0.0.1 - - [09/Jul/2026 14:00:02] "GET /tmp_mobile_dashboard_preview.html HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [09/Jul/2026 14:03:05] "GET /tmp_mobile_dashboard_preview_fixed.html HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [09/Jul/2026 14:03:05] "GET /app/static/style.css?v=v279-mobile-reference-rebuild HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [09/Jul/2026 14:03:05] "GET /app/static/brand-logo.png HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [09/Jul/2026 14:03:05] "GET /app/static/favicon.ico?v=v202-ios-install-button-polish HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [09/Jul/2026 19:36:39] "GET /app/static/brand-logo.png HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [09/Jul/2026 19:36:39] "GET /app/static/site.webmanifest?v=v202-ios-install-button-polish HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [09/Jul/2026 19:36:41] "GET /app/static/brand-logo.png HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [09/Jul/2026 19:36:41] "GET /app/static/site.webmanifest?v=v202-ios-install-button-polish HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [09/Jul/2026 19:36:43] "GET /app/static/brand-logo.png HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [09/Jul/2026 19:36:43] "GET /app/static/site.webmanifest?v=v202-ios-install-button-polish HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [09/Jul/2026 19:36:44] "GET /app/static/site.webmanifest?v=v202-ios-install-button-polish HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [09/Jul/2026 19:36:44] "GET /app/static/brand-logo.png HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [09/Jul/2026 19:39:27] "GET /app/static/brand-logo.png HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [09/Jul/2026 19:39:27] "GET /app/static/site.webmanifest?v=v202-ios-install-button-polish HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [09/Jul/2026 19:39:28] "GET /app/static/brand-logo.png HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [09/Jul/2026 19:39:28] "GET /app/static/site.webmanifest?v=v202-ios-install-button-polish HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [09/Jul/2026 19:39:30] "GET /app/static/brand-logo.png HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [09/Jul/2026 19:39:30] "GET /app/static/site.webmanifest?v=v202-ios-install-button-polish HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [09/Jul/2026 19:39:31] "GET /app/static/brand-logo.png HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [09/Jul/2026 19:39:31] "GET /app/static/site.webmanifest?v=v202-ios-install-button-polish HTTP/1.1" 200 -
