WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on http://127.0.0.1:5017
Press CTRL+C to quit
127.0.0.1 - - [09/Jul/2026 14:32:42] "GET /login HTTP/1.1" 200 -
127.0.0.1 - - [09/Jul/2026 14:34:53] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [09/Jul/2026 14:34:53] "GET /static/style.css?v=v317-refresh-body-scroll-fix HTTP/1.1" 200 -
127.0.0.1 - - [09/Jul/2026 14:34:53] "GET /static/brand-logo.png HTTP/1.1" 200 -
127.0.0.1 - - [09/Jul/2026 14:34:53] "GET /static/site.webmanifest?v=v202-ios-install-button-polish HTTP/1.1" 200 -
127.0.0.1 - - [09/Jul/2026 14:34:53] "GET /static/script.js?v=v317-refresh-body-scroll-fix HTTP/1.1" 200 -
127.0.0.1 - - [09/Jul/2026 14:34:53] "POST /analytics/tab-open HTTP/1.1" 204 -
127.0.0.1 - - [09/Jul/2026 14:34:53] "GET /static/favicon.ico?v=v202-ios-install-button-polish HTTP/1.1" 200 -
127.0.0.1 - - [09/Jul/2026 14:34:53] "GET /static/apple-touch-icon.png?v=v202-ios-install-button-polish HTTP/1.1" 200 -
127.0.0.1 - - [09/Jul/2026 14:34:54] "GET /assignments HTTP/1.1" 200 -
127.0.0.1 - - [09/Jul/2026 14:34:54] "GET /static/style.css?v=v317-refresh-body-scroll-fix HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2026 14:34:54] "GET /static/brand-logo.png HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2026 14:34:54] "GET /static/script.js?v=v317-refresh-body-scroll-fix HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2026 14:34:54] "GET /static/site.webmanifest?v=v202-ios-install-button-polish HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2026 14:34:55] "GET /static/apple-touch-icon.png?v=v202-ios-install-button-polish HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2026 14:34:56] "GET /assignments HTTP/1.1" 200 -
127.0.0.1 - - [09/Jul/2026 14:34:56] "GET /static/style.css?v=v317-refresh-body-scroll-fix HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2026 14:34:56] "GET /static/brand-logo.png HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2026 14:34:56] "GET /static/script.js?v=v317-refresh-body-scroll-fix HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2026 14:34:56] "GET /static/site.webmanifest?v=v202-ios-install-button-polish HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2026 14:34:56] "GET /static/favicon.ico?v=v202-ios-install-button-polish HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2026 14:34:56] "GET /static/apple-touch-icon.png?v=v202-ios-install-button-polish HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2026 14:34:56] "GET /assignments HTTP/1.1" 200 -
127.0.0.1 - - [09/Jul/2026 14:34:56] "GET /static/style.css?v=v317-refresh-body-scroll-fix HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2026 14:34:56] "GET /static/brand-logo.png HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2026 14:34:56] "GET /static/site.webmanifest?v=v202-ios-install-button-polish HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2026 14:34:56] "GET /static/script.js?v=v317-refresh-body-scroll-fix HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2026 14:34:57] "GET /static/favicon.ico?v=v202-ios-install-button-polish HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2026 14:34:57] "GET /static/apple-touch-icon.png?v=v202-ios-install-button-polish HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2026 14:34:57] "GET /assignments HTTP/1.1" 200 -
127.0.0.1 - - [09/Jul/2026 14:34:57] "GET /static/style.css?v=v317-refresh-body-scroll-fix HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2026 14:34:57] "GET /static/brand-logo.png HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2026 14:34:57] "GET /static/site.webmanifest?v=v202-ios-install-button-polish HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2026 14:34:57] "GET /static/script.js?v=v317-refresh-body-scroll-fix HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2026 14:34:57] "GET /static/apple-touch-icon.png?v=v202-ios-install-button-polish HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2026 14:34:57] "GET /static/favicon.ico?v=v202-ios-install-button-polish HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2026 14:34:57] "GET /assignments HTTP/1.1" 200 -
127.0.0.1 - - [09/Jul/2026 14:34:57] "GET /static/style.css?v=v317-refresh-body-scroll-fix HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2026 14:34:57] "GET /static/brand-logo.png HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2026 14:34:57] "GET /static/site.webmanifest?v=v202-ios-install-button-polish HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2026 14:34:57] "GET /static/script.js?v=v317-refresh-body-scroll-fix HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2026 14:34:57] "GET /static/favicon.ico?v=v202-ios-install-button-polish HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2026 14:34:57] "GET /static/apple-touch-icon.png?v=v202-ios-install-button-polish HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2026 14:34:57] "GET /assignments HTTP/1.1" 200 -
127.0.0.1 - - [09/Jul/2026 14:34:57] "GET /static/style.css?v=v317-refresh-body-scroll-fix HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2026 14:34:57] "GET /static/brand-logo.png HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2026 14:34:57] "GET /static/script.js?v=v317-refresh-body-scroll-fix HTTP/1.1" 304 -
